Code,Total,Dem,Rep,Other,Obama,Romney,Dem_share,Rep_share,Winner
AL-01,"152,234","48,278","103,758",198,"111,735","184,786",31.70%,68.20%,R
AL-02,"167,952","54,692","113,103",157,"105,572","182,287",32.60%,67.30%,R
AL-03,"156,620","52,816","103,558",246,"103,089","174,465",33.70%,66.10%,R
AL-04,"134,752",0,"132,831","1,921","65,818","205,423",0%,98.60%,R
AL-05,"154,974",0,"115,338","39,636","103,598","189,860",0%,74.40%,R
AL-06,"178,449","42,291","135,945",213,"77,517","233,566",23.70%,76.20%,R
AL-07,"135,899","133,687",0,"2,212","228,276","85,488",98.40%,0%,D
AK-AL,"279,725","114,596","142,566","22,563","122,640","164,676",41.00%,51.00%,R
AZ-01,"185,114","97,391","87,723",0,"124,550","131,115",52.60%,47.40%,D
AZ-02,"219,351","109,543","109,704",104,"144,966","149,651",49.90%,50.00%,R
AZ-03,"104,428","58,192","46,185",51,"108,902","65,482",55.70%,44.20%,D
AZ-04,"175,179","45,179","122,560","7,440","80,035","173,394",25.80%,70.00%,R
AZ-05,"179,463","54,596","124,867",0,"101,511","187,304",30.40%,69.60%,R
AZ-06,"199,776","70,198","129,578",0,"121,661","186,537",35.10%,64.90%,R
AZ-07,"72,454","54,235",0,"18,219","101,028","37,353",74.90%,0%,D
AZ-08,"169,776",0,"128,710","41,066","107,335","179,555",0%,75.80%,R
AZ-09,"162,062","88,609","67,841","5,612","135,244","123,263",54.70%,41.90%,D
AR-01,"196,256","63,555","124,139","8,562","92,086","154,549",32.40%,63.30%,R
AR-02,"237,330","103,477","123,073","10,780","125,527","160,140",43.60%,51.90%,R
AR-03,"190,935",0,"151,630","39,305","81,413","168,703",0%,79.40%,R
AR-04,"206,131","87,742","110,789","7,600","95,383","164,352",42.60%,53.70%,R
CA-01,"216,372","84,320","132,052",0,"122,379","171,902",39.00%,61.00%,R
CA-02,"217,524","163,124","54,400",0,"230,212","89,908",75.00%,25.00%,D
CA-03,"150,260","79,224","71,036",0,"131,237","104,145",52.70%,47.30%,D
CA-04,"211,134",0,"211,134",0,"133,473","195,386",0%,100%,R
CA-05,"171,148","129,613",0,"41,535","199,924","78,703",75.70%,0%,D
CA-06,"133,456","97,008","36,448",0,"156,141","63,862",72.70%,27.30%,D
CA-07,"183,587","92,521","91,066",0,"145,147","133,888",50.40%,49.60%,D
CA-08,"114,536","37,056","77,480",0,"88,579","118,278",32.40%,67.60%,R
CA-09,"121,204","63,475","57,729",0,"127,418","88,403",52.40%,47.60%,D
CA-10,"125,705","55,123","70,582",0,"108,923","101,160",43.90%,56.10%,R
CA-11,"174,662","117,502","57,160",0,"203,699","90,226",67.30%,32.70%,D
CA-12,"192,264","160,067","32,197",0,"269,461","40,003",83.30%,16.70%,D
CA-13,"190,431","168,491","21,940",0,"268,093","27,474",88.50%,11.50%,D
CA-14,"149,146","114,389","34,757",0,"200,343","63,589",76.70%,23.30%,D
CA-15,"142,904","99,756","43,148",0,"177,243","77,748",69.80%,30.20%,D
CA-16,"91,220","46,277","44,943",0,"88,973","59,808",50.70%,49.30%,D
CA-17,"134,408","134,408",0,0,"163,862","58,193",100%,0%,D
CA-18,"196,386","133,060","63,326",0,"218,082","92,457",67.80%,32.20%,D
CA-19,"127,788","127,788",0,0,"165,530","61,643",100%,0%,D
CA-20,"141,044","106,034",0,"35,010","168,956","62,427",75.20%,0%,D
CA-21,"79,377","33,470","45,907",0,"65,146","51,917",42.20%,57.80%,R
CA-22,"133,342","37,289","96,053",0,"92,005","125,213",28.00%,72.00%,R
CA-23,"134,043","33,726","100,317",0,"82,119","139,816",25.20%,74.80%,R
CA-24,"198,794","103,228","95,566",0,"158,119","126,049",51.90%,48.10%,D
CA-25,"114,072",0,"114,072",0,"120,701","125,258",0%,100%,R
CA-26,"169,829","87,176","82,653",0,"147,753","119,677",51.30%,48.70%,D
CA-27,"127,580","75,728","51,852",0,"161,528","90,278",59.40%,40.60%,D
CA-28,"120,264","91,996",0,"28,268","187,441","70,757",76.50%,0%,D
CA-29,"67,141","50,096","17,045",0,"129,323","34,454",74.60%,25.40%,D
CA-30,"131,883","86,568","45,315",0,"186,301","91,680",65.60%,34.40%,D
CA-31,"99,784","51,622","48,162",0,"118,043","83,822",51.70%,48.30%,D
CA-32,"84,406","50,353","34,053",0,"133,061","66,269",59.70%,40.30%,D
CA-33,"183,031","108,331","74,700",0,"210,010","127,421",59.20%,40.80%,D
CA-34,"61,607","61,607",0,0,"127,510","21,739",100%,0%,D
CA-35,"62,255","62,255",0,0,"108,983","49,433",100%,0%,D
CA-36,"134,139","72,682","61,457",0,"107,914","101,156",54.20%,45.80%,D
CA-37,"114,838","96,787","18,051",0,"222,329","33,307",84.30%,15.70%,D
CA-38,"98,480","58,192","40,288",0,"149,141","75,780",59.10%,40.90%,D
CA-39,"133,225","41,906","91,319",0,"124,108","133,742",31.50%,68.50%,R
CA-40,"49,379","49,379",0,0,"115,637","23,446",100%,0%,D
CA-41,"82,884","46,948","35,936",0,"114,040","67,314",56.60%,43.40%,D
CA-42,"113,390","38,850","74,540",0,"96,212","131,438",34.30%,65.70%,R
CA-43,"98,202","69,681","28,521",0,"173,342","44,485",71.00%,29.00%,D
CA-44,"68,862","59,670",0,"9,192","155,459","24,995",86.70%,0%,D
CA-45,"162,902","56,819","106,083",0,"133,114","169,489",34.90%,65.10%,R
CA-46,"83,315","49,738","33,577",0,"95,479","56,252",59.70%,40.30%,D
CA-47,"123,400","69,091","54,309",0,"147,456","92,010",56.00%,44.00%,D
CA-48,"174,795","62,713","112,082",0,"133,103","169,249",35.90%,64.10%,R
CA-49,"163,142","64,981","98,161",0,"134,447","153,856",39.80%,60.20%,R
CA-50,"157,299","45,302","111,997",0,"102,649","165,104",28.80%,71.20%,R
CA-51,"81,950","56,373","25,577",0,"115,610","48,108",68.80%,31.20%,D
CA-52,"191,572","98,826","92,746",0,"163,911","143,726",51.60%,48.40%,D
CA-53,"148,044","87,104","60,940",0,"174,616","103,513",58.80%,41.20%,D
CO-01,"278,491","183,281","80,682","14,528","254,400","106,334",65.80%,29.00%,D
CO-02,"345,945","196,300","149,645",0,"255,209","174,095",56.70%,43.30%,D
CO-03,"281,141","100,364","163,011","17,766","163,886","185,459",35.70%,58.00%,R
CO-04,"286,507","83,727","185,292","17,488","140,404","209,415",29.20%,64.70%,R
CO-05,"262,855","105,673","157,182",0,"129,903","200,491",40.20%,59.80%,R
CO-06,"276,440","118,847","143,467","14,126","183,024","165,070",43.00%,51.90%,R
CO-07,"269,143","148,225","120,918",0,"196,276","144,379",55.10%,44.90%,D
CT-01,"217,696","135,686","78,520","3,490","200,960","112,982",62.30%,36.10%,D
CT-02,"227,750","141,851","80,842","5,057","177,544","135,235",62.30%,35.50%,D
CT-03,"210,420","141,197","69,223",0,"191,296","110,912",67.10%,32.90%,D
CT-04,"198,719","106,791","91,928",0,"170,884","136,600",53.70%,46.30%,D
CT-05,"211,123","112,550","96,625","1,948","164,621","139,347",53.30%,45.80%,D
DE-AL,"231,617","137,251","85,146","9,220","242,584","165,484",59.30%,36.80%,D
FL-01,"235,343","54,976","165,086","15,281",106814,242972,23.40%,70.10%,R
FL-02,"249,780","126,096","123,262",422,158751,178780,50.50%,49.30%,D
FL-03,"228,809","73,910","148,691","6,208",122708,202003,32.30%,65.00%,R
FL-04,"227,253",0,"177,887","49,366",123938,222443,0%,78.30%,R
FL-05,"171,577","112,340","59,237",0,196608,77414,65.50%,34.50%,D
FL-06,"265,817","99,563","166,254",0,149955,209150,37.50%,62.50%,R
FL-07,"227,164","73,011","144,474","9,679",156382,172042,32.10%,63.60%,R
FL-08,"274,513","93,724","180,728",61,153138,206074,34.10%,65.80%,R
FL-09,"173,878","93,850","74,963","5,065",170093,102173,54.00%,43.10%,D
FL-10,"232,574","89,426","143,128",20,149532,174484,38.50%,61.50%,R
FL-11,"272,294","90,786","181,508",0,143380,209720,33.30%,66.70%,R
FL-12,0,0,0,0,153386,185157,0%,100%,R
FL-13,"223,576",0,"168,172","55,404",171102,166087,0%,75.20%,R
FL-14,0,0,0,0,191255,99834,100%,0%,D
FL-15,"213,582",84832,128750,0,138145,161622,39.70%,60.30%,R
FL-16,"274,829","105,483","169,126",220,161079,194525,38.40%,61.50%,R
FL-17,"223,756","82,263","141,493",0,122440,172038,36.80%,63.20%,R
FL-18,"253,374","151,478","101,896",0,163067,177320,59.80%,40.20%,D
FL-19,"246,861","80,824","159,354","6,683",124296,194306,32.70%,64.60%,R
FL-20,"157,466","128,498","28,968",0,216641,44526,81.60%,18.40%,D
FL-21,"153,970","153,395",0,575,196227,125822,99.60%,0%,D
FL-22,"216,095","125,404","90,685",6,178229,147262,58.00%,42.00%,D
FL-23,"164,788","103,269","61,519",0,176266,108696,62.70%,37.30%,D
FL-24,149918,"129,192","15,239","5,487",227960,31710,86.20%,10.20%,D
FL-25,0,0,0,0,115565,120524,0%,100%,R
FL-26,"161,337","78,306","83,031",0,141449,123521,48.50%,51.50%,R
FL-27,0,0,0,0,129350,113241,0%,100%,R
GA-01,"156,512","61,175","95,337",0,"111,949","145,460",39.10%,60.90%,R
GA-02,"162,900","96,363","66,537",0,"153,998","107,242",59.20%,40.80%,D
GA-03,"156,277",0,"156,277",0,"97,746","195,071",0%,100%,R
GA-04,"161,211","161,211",0,0,"218,499","75,951",100%,0%,D
GA-05,"170,326","170,326",0,0,"241,217","45,887",100%,0%,D
GA-06,"210,504","71,486","139,018",0,"115,017","186,807",34.00%,66.00%,R
GA-07,"173,669","60,112","113,557",0,"101,065","158,854",34.60%,65.40%,R
GA-08,"129,938",0,"129,938",0,"99,677","163,908",0%,100%,R
GA-09,"181,047","34,988","146,059",0,"54,388","207,498",19.30%,80.70%,R
GA-10,"196,480","65,777","130,703",0,"107,039","184,160",33.50%,66.50%,R
GA-11,"161,532",0,"161,532",0,"94,447","201,014",0%,100%,R
GA-12,"166,814","75,478","91,336",0,"117,085","148,688",45.20%,54.80%,R
GA-13,"159,445","159,445",0,0,"202,794","87,785",100%,0%,D
GA-14,"118,782",0,"118,782",0,"58,906","170,364",0%,100%,R
HI-01,"179,844","93,390","86,454",0,"151,023","62,875",51.90%,48.10%,D
HI-02,"180,333","142,010","33,630","4,693","155,635","58,140",78.70%,18.60%,D
ID-01,"220,864","77,277","143,580",7,"105,645","213,080",35.00%,65.00%,R
ID-02,"214,293","82,801","131,492",0,"107,142","207,831",38.60%,61.40%,R
IL-01,"222,017","162,268","59,749",0,"262,668","67,367",73.10%,26.90%,D
IL-02,"204,266","160,337","43,799",130,"251,147","57,674",78.50%,21.40%,D
IL-03,"180,855","116,764","64,091",0,"143,676","109,396",64.60%,35.40%,D
IL-04,"101,944","79,666","22,278",0,"137,065","28,899",78.10%,21.90%,D
IL-05,"184,019","116,364","56,350","11,305","188,324","90,747",63.20%,30.60%,D
IL-06,"238,752","78,465","160,287",0,"151,937","179,606",32.90%,67.10%,R
IL-07,"182,278","155,110","27,168",0,"264,185","35,713",85.10%,14.90%,D
IL-08,"151,056","84,178","66,878",0,"133,206","95,031",55.70%,44.30%,D
IL-09,"213,450","141,000","72,384",66,"200,656","102,689",66.10%,33.90%,D
IL-10,"187,128","91,136","95,992",0,"157,397","112,555",48.70%,51.30%,R
IL-11,"174,772","93,436","81,335",1,"152,265","107,028",53.50%,46.50%,D
IL-12,"209,738","87,860","110,038","11,840","154,346","149,339",41.90%,52.50%,R
IL-13,"210,272","86,935","123,337",0,"146,442","147,377",41.30%,58.70%,R
IL-14,"222,230","76,861","145,369",0,"139,858","171,582",34.60%,65.40%,R
IL-15,"221,926","55,652","166,274",0,"105,065","197,243",25.10%,74.90%,R
IL-16,"217,198","63,810","153,388",0,"137,165","160,606",29.40%,70.60%,R
IL-17,"199,361","110,560","88,785",16,"169,702","119,753",55.50%,44.50%,D
IL-18,"246,740","62,377","184,363",0,"125,036","202,785",25.30%,74.70%,R
IN-01,142293,86579,51000,"4,714","182,021","111,217",60.80%,35.80%,D
IN-02,145200,55590,85583,"4,027","116,324","154,841",38.30%,58.90%,R
IN-03,148793,39771,97892,"11,130","102,534","179,628",26.70%,65.80%,R
IN-04,142054,47056,94998,0,"103,103","170,245",33.10%,66.90%,R
IN-05,161440,49756,105277,"6,407","139,300","196,744",30.80%,65.20%,R
IN-06,155071,45509,102187,"7,375","106,371","172,456",29.30%,65.90%,R
IN-07,112261,61443,46887,"3,931","164,902","92,674",54.70%,41.80%,D
IN-08,171315,61384,103344,"6,587","116,465","171,648",35.80%,60.30%,R
IN-09,163387,55016,101594,"6,777","123,436","173,433",33.70%,62.20%,R
IA-01,"289,306","141,145","147,762",399,"225,585","170,753",48.80%,51.10%,R
IA-02,"273,329","143,431","129,455",443,"219,946","168,534",52.50%,47.40%,D
IA-03,"282,066","119,109","148,814","14,143","203,622","186,645",42.20%,52.80%,R
IA-04,"275,633","105,504","169,834",295,"173,391","204,685",38.30%,61.60%,R
KS-01,204161,65397,138764,0,"72,699","184,288",32.00%,68.00%,R
KS-02,225686,87153,128742,"9,791","124,370","163,082",38.60%,57.00%,R
KS-03,224280,89584,134493,203,"146,406","177,886",39.90%,60.00%,R
KS-04,208153,69396,138757,0,"96,433","164,553",33.30%,66.70%,R
KY-01,236618,63596,173022,0,"95,273","197,074",26.90%,73.10%,R
KY-02,226834,69898,156936,0,"103,432","186,207",30.80%,69.20%,R
KY-03,247355,157056,87981,"2,318","183,015","140,539",63.50%,35.60%,D
KY-04,222158,71694,150464,0,"108,328","197,131",32.30%,67.70%,R
KY-05,218967,47617,171350,0,"60,785","196,167",21.70%,78.30%,R
KY-06,245694,98290,147404,0,"128,537","170,076",40.00%,60.00%,R
LA-01,"244,004","46,047","189,250","8,707","89,418","235,877",18.90%,77.60%,R
LA-02,"221,564","190,000",0,"31,564","248,982","74,893",85.80%,0%,D
LA-03,"236,268",0,"207,926","28,342","107,611","220,490",0%,88.00%,R
LA-04,"207,919",0,"152,683","55,236","128,612","191,416",0%,73.40%,R
LA-05,"209,622","75,006","134,616",0,"124,102","201,058",35.80%,64.20%,R
LA-06,"222,990","83,781","139,209",0,"110,416","228,528",37.60%,62.40%,R
ME-01,"308,898","186,674","94,751","27,473","223,103","142,993",60.40%,30.70%,D
ME-02,"283,473","118,568","133,320","31,585","178,203","149,283",41.80%,47.00%,R
MD-01,"250,418","73,843","176,342",233,"133,521","213,073",29.50%,70.40%,R
MD-02,"196,354","120,412","70,411","5,531","195,997","109,488",61.30%,35.90%,D
MD-03,"215,946","128,594","87,029",323,"204,501","125,439",59.50%,40.30%,D
MD-04,"191,837","134,628","54,217","2,992","255,910","67,662",70.20%,28.30%,D
MD-05,"226,040","144,725","80,752",563,"234,954","114,638",64.00%,35.70%,D
MD-06,"190,536","94,704","91,930","3,902","179,172","137,744",49.70%,48.20%,D
MD-07,"206,809","144,639","55,860","6,310","251,845","74,614",69.90%,27.00%,D
MD-08,"225,097","136,722","87,859",516,"221,944","129,211",60.70%,39.00%,D
MA-01,"171,110","167,612",0,"3,498","213,423","114,339",98.00%,0%,D
MA-02,"172,745","169,640",0,"3,105","199,549","133,195",98.20%,0%,D
MA-03,"220,946","139,104","81,638",204,"189,461","137,869",63.00%,36.90%,D
MA-04,"188,098","184,158",0,"3,940","211,895","152,845",97.90%,0%,D
MA-05,"185,260","182,100",0,"3,160","235,984","119,934",98.30%,0%,D
MA-06,"272,219","149,638","111,989","10,592","212,003","169,966",55.00%,41.10%,D
MA-07,"144,546","142,133",0,"2,413","233,382","44,275",98.30%,0%,D
MA-08,"203,351","200,644",0,"2,707","213,364","150,825",98.70%,0%,D
MA-09,"255,541","140,413","114,971",157,"212,701","165,212",54.90%,45.00%,D
MI-01,"250,131","113,263","130,414","6,454","160,199","189,406",45.30%,52.10%,R
MI-02,"213,072","70,851","135,568","6,653","142,080","184,755",33.30%,63.60%,R
MI-03,"217,165","84,720","125,754","6,691","153,069","177,742",39.00%,57.90%,R
MI-04,"219,423","85,777","123,962","9,684","146,088","171,864",39.10%,56.50%,R
MI-05,"222,138","148,182","69,222","4,734","205,800","129,903",66.70%,31.20%,D
MI-06,"208,976","84,391","116,801","7,784","158,950","163,309",40.40%,55.90%,R
MI-07,"223,685","92,083","119,564","12,038","159,012","169,268",41.20%,53.50%,R
MI-08,"243,125","102,269","132,739","8,117","172,131","183,512",42.10%,54.60%,R
MI-09,"225,757","136,342","81,470","7,945","199,625","146,185",60.40%,36.10%,D
MI-10,"228,692","67,143","157,069","4,480","148,429","187,653",29.40%,68.70%,R
MI-11,"251,238","101,681","140,435","9,122","178,768","199,308",40.50%,55.90%,R
MI-12,"206,660","134,346","64,716","7,598","217,492","107,675",65.00%,31.30%,D
MI-13,"166,947","132,710","27,234","7,003","249,656","41,881",79.50%,16.30%,D
MI-14,"212,468","165,272","41,801","5,395","273,270","62,794",77.80%,19.70%,D
MN-01,"226,695","122,851","103,536",308,"170,377","165,720",54.20%,45.70%,D
MN-02,"245,848","95,565","137,778","12,505","184,802","184,576",38.90%,56.00%,R
MN-03,"269,585","101,846","167,515",224,"199,093","195,802",37.80%,62.10%,R
MN-04,"241,637","147,857","79,492","14,288","231,511","131,521",61.20%,32.90%,D
MN-05,"236,009","167,079","56,577","12,353","274,635","89,643",70.80%,24.00%,D
MN-06,"236,846","90,926","133,328","12,592","151,238","205,652",38.40%,56.30%,R
MN-07,"240,835","130,546","109,955",334,"147,750","180,334",54.20%,45.70%,D
MN-08,"266,083","129,090","125,358","11,635","186,761","166,977",48.50%,47.10%,D
MS-01,"151,111","43,713","102,622","4,776","118,438","197,984",28.90%,67.90%,R
